STOP_ID, ROUTES_USING_STOP, LONGITUDE, TICKETZONE, LATITUDE, STOP_NAME, OBJECTID
"19954","Sandringham",145.000898,"1",-37.884753,"Elsternwick Railway Station (Elsternwick)",130
"19868","Belgrave",145.295251,"2",-37.881698,"Ferntree Gully Railway Station (Ferntree Gully)",44
"19873","Glen Waverley",145.162058,"2",-37.879504,"Glen Waverley Railway Station (Glen Waverley)",49
"19943","Frankston,Pakenham,Cranbourne",145.042525,"1",-37.877459,"Caulfield Railway Station (Caulfield East)",119
"19838","Glen Waverley",145.069393,"1,2",-37.87693,"East Malvern Railway Station (Malvern East)",14
"19874","Glen Waverley",145.14978,"2",-37.87623,"Syndal Railway Station (Glen Waverley)",50
"19955","Sandringham",144.995237,"1",-37.875906,"Ripponlea Railway Station (Ripponlea)",131
"19875","Glen Waverley",145.128056,"2",-37.875255,"Mount Waverley Railway Station (Mount Waverley)",51
"19839","Glen Waverley",145.090662,"1,2",-37.874402,"Holmesglen Railway Station (Malvern East)",15
"19840","Glen Waverley",145.11209,"2",-37.873603,"Jordanville Railway Station (Mount Waverley)",16
"19956","Sandringham",144.993512,"1",-37.869488,"Balaclava Railway Station (Balaclava)",132
"19837","Glen Waverley",145.062951,"1,2",-37.868957,"Darling Railway Station (Malvern East)",13
"19847","Alamein",145.079656,"1",-37.86832,"Alamein Railway Station (Ashburton)",23
"19944","Pakenham,Frankston",145.029294,"1",-37.866253,"Malvern Railway Station (Malvern)",120
"19848","Alamein",145.081344,"1",-37.861968,"Ashburton Railway Station (Ashburton)",24
"19869","Belgrave",145.284385,"2",-37.860452,"Boronia Railway Station (Boronia)",45
"19835","Glen Waverley",145.058225,"1",-37.859308,"Glen Iris Railway Station (Glen Iris)",11
"19945","Pakenham,Frankston",145.019326,"1",-37.856452,"Armadale Railway Station (Armadale)",121
"19957","Sandringham",144.992035,"1",-37.856053,"Windsor Railway Station (Windsor)",133
"19912","Glen Waverley",145.051655,"1",-37.853279,"Gardiner Railway Station (Glen Iris)",88
"19849","Alamein",145.080511,"1",-37.851563,"Burwood Railway Station (Glen Iris)",25
"19946","Pakenham,Frankston",145.013909,"1",-37.850774,"Toorak Railway Station (Armadale)",122
"19958","Sandringham",144.98986,"1",-37.849518,"Prahran Railway Station (Prahran)",134
"19911","Glen Waverley",145.041734,"1",-37.849366,"Tooronga Railway Station (Malvern)",87
"19947","Pakenham,Frankston",145.002142,"1",-37.844591,"Hawksburn Railway Station (South Yarra)",123
"19850","Alamein",145.07556,"1",-37.843985,"Hartwell Railway Station (Camberwell)",26
"19870","Belgrave",145.268136,"2",-37.84173,"Bayswater Railway Station (Bayswater)",46
"19910","Glen Waverley",145.033552,"1",-37.839929,"Kooyong Railway Station (Kooyong)",86
"19959","Frankston,Pakenham,Sandringham,Cranbourne",144.992342,"1",-37.838449,"South Yarra Railway Station (South Yarra)",135
"19851","Alamein",145.070298,"1",-37.835716,"Willison Railway Station (Camberwell)",27
"19909","Glen Waverley",145.022635,"1",-37.834672,"Heyington Railway Station (Toorak)",85
"19852","Alamein",145.069646,"1",-37.831505,"Riversdale Railway Station (Camberwell)",28
"19871","Belgrave",145.244555,"2",-37.828322,"Heathmont Railway Station (Heathmont)",47
"19906","Belgrave,Glen Waverley,Lilydale,Alamein",145.007555,"1",-37.82756,"Burnley Railway Station (Burnley)",82
"19853","Belgrave,Lilydale,Alamein",145.058697,"1",-37.826567,"Camberwell Railway Station (Camberwell)",29
"19907","Belgrave,Glen Waverley,Lilydale,Alamein",144.997066,"1",-37.8264,"East Richmond Railway Station (Richmond)",83
"19892","Lilydale,Belgrave",145.06819,"1",-37.825894,"East Camberwell Railway Station (Camberwell)",68
"19827","Stony Point",145.221837,"2",-38.374235,"Stony Point Railway Station (Crib Point)",3
"19828","Stony Point",145.204043,"2",-38.366123,"Crib Point Railway Station (Crib Point)",4
"19829","Stony Point",145.189602,"2",-38.354033,"Morradoo Railway Station (Crib Point)",5
"19830","Stony Point",145.178027,"2",-38.33739,"Bittern Railway Station (Bittern)",6
"19831","Stony Point",145.18598,"2",-38.305659,"Hastings Railway Station (Hastings)",7
"19832","Stony Point",145.186401,"2",-38.259815,"Tyabb Railway Station (Tyabb)",8
"19833","Stony Point",145.176245,"2",-38.225342,"Somerville Railway Station (Somerville)",9
"19834","Stony Point",145.160526,"2",-38.194043,"Baxter Railway Station (Baxter)",10
"19836","Stony Point",145.139534,"2",-38.152034,"Leawarra Railway Station (Frankston)",12
"19855","Stony Point,Frankston",145.126162,"2",-38.14299,"Frankston Railway Station (Frankston)",31
"19856","Frankston",145.135295,"2",-38.121742,"Kananook Railway Station (Seaford)",32
"19857","Frankston",145.12823,"2",-38.104021,"Seaford Railway Station (Seaford)",33
"19886","Cranbourne",145.280599,"2",-38.099537,"Cranbourne Railway Station (Cranbourne)",62
"19880","Pakenham",145.486379,"2",-38.080614,"Pakenham Railway Station (Pakenham)",56
"19887","Cranbourne",145.263511,"2",-38.079,"Merinda Park Railway Station (Cranbourne North)",63
"19858","Frankston",145.122833,"2",-38.076504,"Carrum Railway Station (Carrum)",34
"45794","Pakenham",145.437791,"2",-38.07129,"Cardinia Road Railway Station (Pakenham)",214
"19881","Pakenham",145.410987,"2",-38.066146,"Officer Railway Station (Officer)",57
"19859","Frankston",145.11968,"2",-38.062945,"Bonbeach Railway Station (Bonbeach)",35
"45793","Cranbourne",145.249275,"2",-38.057341,"Lynbrook Railway Station (Lynbrook)",213
"19860","Frankston",145.116041,"2",-38.051955,"Chelsea Railway Station (Chelsea)",36
"19882","Pakenham",145.366074,"2",-38.050831,"Beaconsfield Railway Station (Beaconsfield)",58
"19883","Pakenham",145.345726,"2",-38.040408,"Berwick Railway Station (Berwick)",59
"19861","Frankston",145.108536,"2",-38.038056,"Edithvale Railway Station (Edithvale)",37
"19884","Pakenham",145.303969,"2",-38.027809,"Narre Warren Railway Station (Narre Warren)",60
"19862","Frankston",145.10215,"2",-38.02722,"Aspendale Railway Station (Aspendale)",38
"19885","Pakenham",145.269777,"2",-38.01774,"Hallam Railway Station (Hallam)",61
"19863","Frankston",145.087659,"2",-38.006583,"Mordialloc Railway Station (Mordialloc)",39
"19864","Frankston",145.076327,"2",-37.993079,"Parkdale Railway Station (Parkdale)",40
"19888","Pakenham,Cranbourne",145.209725,"2",-37.989968,"Dandenong Railway Station (Dandenong)",64
"19865","Frankston",145.065166,"2",-37.981865,"Mentone Railway Station (Mentone)",41
"19889","Pakenham,Cranbourne",145.1916,"2",-37.978255,"Yarraman Railway Station (Noble Park)",65
"19866","Frankston",145.054558,"2",-37.96665,"Cheltenham Railway Station (Cheltenham)",42
"19890","Pakenham,Cranbourne",145.176325,"2",-37.966628,"Noble Park Railway Station (Noble Park)",66
"52095","Frankston",145.049121,"2",-37.958756,"Southland Railway Station (Cheltenham)",217
"19891","Pakenham,Cranbourne",145.162826,"2",-37.956505,"Sandown Park Railway Station (Springvale)",67
"19948","Sandringham",145.004561,"2",-37.95033,"Sandringham Railway Station (Sandringham)",124
"19913","Pakenham,Cranbourne",145.153452,"2",-37.949509,"Springvale Railway Station (Springvale)",89
"19872","Frankston",145.041872,"2",-37.948425,"Highett Railway Station (Highett)",48
