,STOP_ID, STOP_NAME,SA3_NAME
824,19408,46-Balwyn Cinema/Whitehorse Rd (Balwyn),Balwyn
825,18734,46-Balwyn Cinema/Whitehorse Rd (Balwyn),Balwyn
826,19409,47-Balwyn Rd/Whitehorse Rd (Balwyn),Balwyn
827,18356,43-Kew High School/High St (Kew East),Kew East
828,18735,47-Balwyn Rd/Whitehorse Rd (Balwyn),Balwyn
829,18574,43-Kew High School/High St (Kew East),Kew East
830,19410,48-Balwyn Shopping Centre/Whitehorse Rd (Balwyn),Balwyn
831,18736,48-Balwyn Shopping Centre/Whitehorse Rd (Balwyn),Balwyn
832,18357,44-Burke Rd/High St (Kew),Kew
833,20895,44-Burke Rd/Doncaster Rd (Balwyn North),Balwyn North
834,18358,45-Burke Rd/Doncaster Rd (Balwyn North),Balwyn North
835,18571,46-Wattle Ave/Doncaster Rd (Balwyn North),Balwyn North
836,18359,46-Wattle Ave/Doncaster Rd (Balwyn North),Balwyn North
837,18570,47-North Balwyn Shopping Centre/Doncaster Rd (Balwyn North),Balwyn North
838,18360,47-North Balwyn Shopping Centre/Doncaster Rd (Balwyn North),Balwyn North
839,18361,48-Sunburst Ave/Doncaster Rd (Balwyn North),Balwyn North
840,18569,48-Osburn Ave/Doncaster Rd (Balwyn North),Balwyn North
841,18362,49-Cityview Rd/Doncaster Rd (Balwyn North),Balwyn North
842,18568,49-Buchanan Ave/Doncaster Rd (Balwyn North),Balwyn North
843,18567,50-Dight Ave/Doncaster Rd (Balwyn North),Balwyn North
844,18363,50-Hill Rd/Doncaster Rd (Balwyn North),Balwyn North
845,18566,51-Balwyn Rd/Doncaster Rd (Balwyn North),Balwyn North
846,18967,64-Camberwell Station/Burke Rd (Hawthorn East),Hawthorn East
847,19043,63-Prospect Hill Rd/Burke Rd (Camberwell),Camberwell
848,18966,63-Prospect Hill Rd/Burke Rd (Hawthorn East),Hawthorn East
849,19446,36-Auburn Rd/Riversdale Rd (Hawthorn East),Hawthorn East
850,19756,36-Auburn Rd/Riversdale Rd (Hawthorn East),Hawthorn East
851,18965,62-Camberwell Shopping Centre/755 Burke Rd (Hawthorn East),Hawthorn East
852,19445,37-Tooronga Rd/Riversdale Rd (Hawthorn East),Hawthorn East
853,19757,37-Tooronga Rd/Riversdale Rd (Hawthorn East),Hawthorn East
854,19444,38-Hastings Rd/Riversdale Rd (Hawthorn East),Hawthorn East
855,19758,38-Hastings Rd/Riversdale Rd (Hawthorn East),Hawthorn East
856,19443,39-Camberwell Tram Depot/Riversdale Rd (Hawthorn East),Hawthorn East
857,19044,61-Camberwell Junction/Burke Rd (Camberwell),Camberwell
858,19759,39-Camberwell Tram Depot/Riversdale Rd (Hawthorn East),Hawthorn East
859,19442,40-Camberwell Junction/Riversdale Rd (Hawthorn East),Hawthorn East
860,19441,41-Camberwell Market/517 Riversdale Rd (Camberwell),Camberwell
861,19760,40-Camberwell Junction/Riversdale Rd (Camberwell),Camberwell
862,18964,61-Riversdale Rd/Burke Rd (Hawthorn East),Hawthorn East
863,21964,40-Camberwell Junction/Camberwell Rd (Camberwell),Camberwell
864,19440,42-Fermanagh Rd/Riversdale Rd (Camberwell),Camberwell
865,19761,42-Fermanagh Rd/Riversdale Rd (Camberwell),Camberwell
866,19439,43-Trafalgar Rd/Riversdale Rd (Camberwell),Camberwell
867,21061,41-Burke Rd/Camberwell Rd (Camberwell),Camberwell
868,19762,43-Trafalgar Rd/Riversdale Rd (Camberwell),Camberwell
869,19438,44-Derby St/Riversdale Rd (Camberwell),Camberwell
870,19763,44-Derby St/Riversdale Rd (Camberwell),Camberwell
871,19436,46-Spencer Rd/Riversdale Rd (Canterbury),Canterbury
872,19764,46-Spencer Rd/Riversdale Rd (Camberwell),Camberwell
873,21062,42-Camberwell Primary School/Camberwell Rd (Camberwell),Camberwell
874,19435,47-Willow Gr/Riversdale Rd (Canterbury),Canterbury
875,19765,47-Willow Gr/Riversdale Rd (Camberwell),Camberwell
876,21063,42-Camberwell Primary School/Camberwell Rd (Camberwell),Camberwell
877,18963,60-Campbell Rd/Burke Rd (Hawthorn East),Hawthorn East
878,19045,60-Reserve Rd/Burke Rd (Camberwell),Camberwell
879,21064,43-Camberwell Civic Centre/Camberwell Rd (Camberwell),Camberwell
880,21065,43-Camberwell Civic Centre/Camberwell Rd (Camberwell),Camberwell
881,19046,59-Seymour Gr/Burke Rd (Camberwell),Camberwell
882,18962,59-Pleasant Rd/Burke Rd (Hawthorn East),Hawthorn East
883,21066,44-Trafalgar Rd/Camberwell Rd (Camberwell),Camberwell
884,21067,44-Trafalgar Rd/Camberwell Rd (Camberwell),Camberwell
885,21068,45-Bowen St/Camberwell Rd (Camberwell),Camberwell
886,21069,45-Bowen St/Camberwell Rd (Camberwell),Camberwell
887,19047,58-Currajong Ave/Burke Rd (Camberwell),Camberwell
888,18961,58-Leura Gr/Burke Rd (Hawthorn East),Hawthorn East
889,21070,46-Christowel St/Camberwell Rd (Camberwell),Camberwell
890,21071,46-Acheron Ave/Camberwell Rd (Camberwell),Camberwell
891,19048,57-Pine Ave/Burke Rd (Camberwell),Camberwell
892,18960,57-Pine Ave/Burke Rd (Hawthorn East),Hawthorn East
893,21072,47-Maple Cres/Camberwell Rd (Camberwell),Camberwell
894,21073,47-Orange Gr/Camberwell Rd (Camberwell),Camberwell
895,20536,58-Bell St/Glenferrie Rd (Malvern),Malvern
896,20537,58-Sorrett Ave/Glenferrie Rd (Malvern),Malvern
897,16765,46-Fraser St/High St (Malvern),Malvern
898,16749,46-Fraser St/High St (Malvern),Malvern
899,1185,50-Vincent St/Wattletree Rd (Malvern East),Malvern East
900,1789,50-Anderson St/Wattletree Rd (Malvern East),Malvern East
901,20538,59-Malvern Rd/Glenferrie Rd (Malvern),Malvern
902,18946,43-Glenferrie Rd/Malvern Rd (Toorak),Toorak
903,19063,43-Glenferrie Rd/Malvern Rd (Malvern),Malvern
904,20539,59-Malvern Rd/Glenferrie Rd (Malvern),Malvern
905,16764,47-Dixon St/High St (Malvern),Malvern
906,16750,47-Dixon St/High St (Malvern),Malvern
907,1291,51-Erica Ave/Wattletree Rd (Malvern East),Malvern East
908,18947,44-Plant St/Malvern Rd (Malvern),Malvern
909,1696,51-Nott St/Wattletree Rd (Malvern East),Malvern East
910,19062,44-Plant St/Malvern Rd (Malvern),Malvern
911,20540,60-Stonnington Pl/Glenferrie Rd (Malvern),Malvern
912,20541,60-Stonnington Pl/Glenferrie Rd (Malvern),Malvern
913,16751,48-Tooronga Rd/High St (Glen Iris),Glen Iris
914,16762,48-Tooronga Rd/High St (Glen Iris),Glen Iris
915,18948,45-Elizabeth St/Malvern Rd (Malvern),Malvern
916,19061,45-Elizabeth St/Malvern Rd (Malvern),Malvern
917,1575,52-Burke Rd/Wattletree Rd (Malvern East),Malvern East
918,20543,61-Moorakyne Ave/Glenferrie Rd (Malvern),Malvern
919,16752,49-Harold Holt Swim Centre/High St (Glen Iris),Glen Iris
920,16761,49-Harold Holt Swim Centre/High St (Glen Iris),Glen Iris
921,19060,46-Shaftesbury Ave/Malvern Rd (Malvern),Malvern
922,18949,46-Meredith St/Malvern Rd (Malvern),Malvern
923,16760,50-Belmont Ave/High St (Glen Iris),Glen Iris
924,16753,50-Belmont Ave/High St (Glen Iris),Glen Iris
925,18950,47-Tooronga Rd/Malvern Rd (Malvern),Malvern
926,19059,47-Tooronga Rd/Malvern Rd (Glen Iris),Glen Iris
927,16754,51-Burke Rd/High St (Glen Iris),Glen Iris
928,16759,51-Burke Rd/High St (Glen Iris),Glen Iris
929,18951,48-Edgar St/Malvern Rd (Malvern),Malvern
930,19058,48-Edgar St/Malvern Rd (Glen Iris),Glen Iris
931,16755,52-Boyanda Rd/High St (Glen Iris),Glen Iris
932,16758,52-Boyanda Rd/High St (Glen Iris),Glen Iris
933,19057,49-Belmont Ave/Malvern Rd (Glen Iris),Glen Iris
